storename,address_original,address_normalize[0],address_normalize[1],?????,url,?????,????,????,????????,??????????,????????,????????,??????,???????????,????,?????,????(??|??|???),?????(??|??|???),????(??|??|???),?????(??|??|???),???1????????,??,??,page,???
???????,??????8-1,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000171,na,?????,?????,['?????????'],na,na,na,na,na,na,na,1|-|-,na,na,2|1|1,22,na,na,13,
????????,??????1092-3,na,na,5/23/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000151,na,????,????,['?????????'],"['?????', '??????']",na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,2.5|2|0.5,30,na,na,13,
??????,?????2101-2,na,na,2/24/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000173,na,???,???,"['?????????', '?????????']",na,na,na,"['????', '??????????????']",na,na,na,2|2|-,na,na,1|1|-,na,na,na,13,
?????????????????,??????1110,na,na,6/27/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=1190000003,na,?????????? ?? ?? ??,??? ?? ??,"['?????????', '????????????(????)?????', '?????????']","['?????', '??????', '??????', '??????', '??·?·????????·??·?????', '???????']",na,na,"['????', '????????????', '???????', '?????????????', '????????', '??????????????', '??????????????', '?????????', '???????????', '???????', '?????????', '????????????']",na,"['???????', '??????', '??????', '????????????']","['??????', '???????', '??????????????', '?????????????', '??????']",12.4|4|8.4,na,na,2.8|1|1.8,?????,na,na,13,
??????????,??????1529-11,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000630,na,?? ??,?? ??,"['?????????', '????????????(????)?????']",['??????'],na,na,"['????', '?????????????', '????????']",na,"['??????', '????????']",na,2|1|1,na,na,6|1|5,35,na,na,13,
???????????,?????49-6,na,na,6/22/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000686,na,?? ??,?? ??,['?????????'],na,na,na,['??????????????'],na,na,na,2|2|-,na,na,2|1|1,20,na,na,13,
???????,???????????1585-5,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000629,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '?????????????', '????????', '??????????????']",na,na,na,1|1|-,na,na,2|1|1,32.3,na,na,13,
???????????,?????????1070-1,na,na,7/4/2019,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000156,na,????,????,['?????????'],na,na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,2|-|2,14.8,na,na,13,
???????????????,?????????5109 ??????2?,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000165,na,?? ??,?? ??,['?????????'],na,na,na,['????'],na,na,"['??????', '???????']",1|1|-,na,na,2|2|-,21,na,na,13,
??????????,???????????1317-2,na,na,9/12/2014,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000159,na,?? ??,?? ??,['?????????'],"['?????', '??????']",na,na,"['????', '?????????????', '??????????????']",na,na,"['???????', '??????']",2|2|-,na,na,0.5|-|1,25,na,na,13,
??????????,?????????1600-3,na,na,10/21/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000663,na,?? ??,?? ??,"['?????????', '?????????', '????????????']","['?????', '??????']",na,na,"['????', '?????????????', '??????????????']",na,na,['??????'],2.1|2|0.1,na,na,4|4|-,na,na,na,13,
?????,?????????1483,na,na,6/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000157,na,????,????,['?????????'],"['?????', '??????']",na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,5|4|1,45,na,na,13,
?????????,???????????671-1,na,na,6/30/2014,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000631,na,????,????,"['?????????', '?????????']","['?????', '??????']",na,na,"['????', '??????????????']",na,na,"['??????', '???????']",1|1|-,na,na,3|3|-,na,na,na,13,
????????????????,?????????1505-1,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000624,na,????,????,"['?????????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '????????', '??????????????', '????????????']",na,na,['??????'],2|2|-,na,na,2|1|1,25,na,na,13,
?????????????????,?????????5222,na,na,6/30/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000652,na,?? ??,?? ??,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,['??????'],['??????'],1|1|-,na,na,3|3|-,40,na,na,13,
????,?????????1523-1,na,na,5/12/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000162,na,?? ?,?? ?,"['?????????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????']",na,na,['??????'],1|1|-,na,na,4.5|3|1.5,30,na,na,13,
???????,?????????476-1,na,na,10/21/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000659,na,?? ?,?? ?,['?????????'],"['?????', '??????']",na,na,"['?????????????', '??????????????']",na,"['??????', '????????']",['??????'],1|1|-,na,na,4|3|1,25,na,na,13,
??????,?????????1033,na,na,6/23/2016,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000161,na,?? ??,?? ??,"['?????????', '?????????']",['?????'],na,na,"['????', '??????????????']",na,['??????'],na,1|1|-,na,na,na,25,na,na,14,
????,???????????1674-2,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000160,na,?? ??,?? ??,['?????????'],"['?????', '??????']",na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,1|1|-,13.7,na,na,14,
???????????,???????????300-2 ????????2F,na,na,6/10/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000688,na,?? ??,?? ??,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '????????', '??????????????', '????????????']",na,na,"['??????', '???????']",1|1|-,na,na,na,6,na,na,14,
???????????,?????781-2,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000628,na,?? ??,?? ??,"['?????????', '?????????', '????????????', '???????????', '????????????(????)?????', '?????????']",na,na,na,"['????', '?????????????', '????????', '??????????????']",na,"['??(????????)', '??????']","['??????', '???????']",2|2|-,na,na,1|1|-,40,na,na,14,
???? ? ????????,??????787-3,na,na,7/1/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000190,na,???? ?,?? ?,"['?????????', '?????????', '????????????(????)?????']","['?????', '??????']",na,na,"['????', '?????????????', '??????????????', '????????????']",na,['??????'],na,3|2|1,na,na,8|7|1,50,na,na,14,
?????,???????998-11,na,na,7/24/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000193,na,? ??,? ??,"['?????????', '?????????', '????????????(????)?????', '?????????']","['?????', '??????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,"['??(????????)', '??????', '????????', '??????????']","['??????', '???????', '??????????????', '?????????????']",1|1|-,na,na,3|1|2,20,na,na,14,
???????????,????194???1,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000196,na,????,????,['?????????'],na,na,na,"['????', '?????????????', '??????????????']",na,"['??????', '????????']","['??????', '???????', '?????????????']",1|1|-,na,na,2|2|-,9.4,na,na,14,
???????,???????1131-3,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000626,na,?? ??,?? ??,"['?????????', '?????????', '????????????(????)?????']","['?????', '??????']",na,na,"['?????????????', '??????????????']",na,na,"['??????', '??????']",1|1|-,na,na,3|3|-,na,na,na,14,
??????,??????937-1,na,na,7/19/2018,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000186,na,????,????,na,na,na,na,"['????', '??????????', '??????????????']",na,na,na,1|1|-,na,na,na,15,na,na,14,
??????,??????521-2,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000510,na,???,???,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,['??????????????'],na,['??????'],"['??????', '???????', '??????']",1|1|-,na,na,1|1|-,19.2,na,na,14,
??????,???????524-2,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000195,na,????,????,"['?????????', '?????????', '????????????(????)?????']","['?????', '??????']",na,na,"['????', '?????????????', '??????????????']",na,['??????'],na,1.1|1|0.1,na,na,1.1|1|0.1,23,na,na,14,
??????,???????145,na,na,7/1/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000192,na,???,???,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,['??????????????'],na,na,na,1|1|-,na,na,1|-|1,10.5,na,na,14,
??????,??????818-3,na,na,8/8/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000189,na,?? ?,?? ?,"['?????????', '?????????', '???????????', '????????????(????)?????', '?????????']","['?????', '??????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '??????????????', '????????????']",na,"['??(????????)', '??????', '????????', '??????????']","['??????', '???????', '?????????????']",3|2|1,na,na,6|3|3,50,na,na,14,
???????????,????????69,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000201,na,????,????,['?????????'],na,na,na,"['?????????????', '????????', '??????????????']",na,"['??(????????)', '??????']",['??????'],1|1|-,na,na,2|-|2,14.5,na,na,14,
??????,??????184-1,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000194,na,?? ?,?? ?,"['?????????', '?????????']",['??????'],na,na,"['????', '?????????????', '????????', '??????????????', '????????????']",na,['??????'],"['??????', '???????']",-|1|-,na,na,3.7|3|0.7,35,na,na,14,
??????,???????8,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000184,na,????,????,"['?????????', '?????????', '????????????(????)?????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????', '?????????', '?????????????', '????????', '??????????????', '????????????']",na,"['??(????????)', '??????']",['??????'],4|2|2,na,na,5|3|2,40,na,na,14,
?????? ???????????,?????860,na,na,8/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=1190000029,na,?????? ????? ??? ?? ??,?? ?? ??,"['?????????', '????????????(????)?????']","['?????', '??????', '??????', '??·?·????????·??·?????']",na,na,"['???????', '???????', '?????????????', '????????', '??????????????', '??????????????', '?????????', '???????', '????????????']",na,"['??????????????', '??????']","['??????', '???????', '??????????????', '?????????????', '??????']",4.2|2|2.4,na,na,4|4|-,?????,na,na,14,
?????????,???????1243-2,na,na,7/31/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000191,na,?? ??,?? ??,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '????????', '??????????????']",na,"['??????', '????????', '??????????????']",['??????'],7|4|3,na,na,5|2|3,28,na,na,14,
??????,????????126-2,na,na,6/27/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000200,na,????,????,['?????????'],na,na,na,"['????', '??????????????']",na,['??????'],['??????'],1|1|-,na,na,na,18,na,na,14,
??????????????,????????466-1,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=2190000733,na,????,????,na,na,na,na,"['?????????????', '????????']",na,['??(????????)'],na,1|1|-,na,na,na,?????,na,na,14,
??????,?????????234-1,na,na,7/1/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000198,na,????,????,"['?????????', '????????????(????)?????']","['?????', '??????']",na,na,"['????', '??????????', '?????????', '?????????????', '????????', '??????????????']",na,['??(????????)'],['??????'],1|1|-,na,na,1|1|-,na,na,na,15,
???? ?????,?????????195,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000210,na,???? ?????,????,na,na,na,na,"['????', '?????????????', '??????????????']",na,na,['??????'],1|1|-,na,na,1|1|-,15,na,na,15,
?????????,????????24-12,na,na,6/12/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000655,na,????,????,"['?????????', '?????????']",['??????'],na,na,"['????', '?????????????', '????????', '??????????????']",na,na,['??????'],2|2|-,na,na,4|4|-,40,na,na,15,
????????,?????????508,na,na,8/8/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000220,na,????,????,"['?????????', '?????????', '????????????(????)?????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '??????????????', '????????????']",na,"['??(?????????????????)', '??????']",['??????'],2|2|-,na,na,3|3|-,20,na,na,15,
??????,????????789-87,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000216,na,????,????,"['?????????', '?????????', '????????????(????)?????', '?????????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????']",na,['??????'],['?????????????'],1|1|-,na,na,na,20,na,na,15,
??????? ??????,????????1745,na,na,6/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=1190000035,na,??? ?? ??,?? ????,"['?????????', '????????????(????)?????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['???????', '?????????????', '????????', '??????????????', '??????????????', '?????????', '???????', '????????????']",na,"['??(????????)', '????????', '?????????', '??????????', '??????', '????????·??', '??????????????', '???????????????????', '??????']","['??????', '???????', '??????????????', '?????????????', '??????']",1.5|1|0.5,na,na,1.5|1|0.5,?????,na,na,15,
???? ??? ????,????????596-3,na,na,8/8/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=2190000299,na,?? ??,?? ??,"['?????????', '???????????']",na,na,na,"['?????????????', '??????????????']",na,['??????'],na,0.5|-|0.5,na,na,0.5|-|0.5,na,na,na,15,
??????? ?????????????,??????????2031,na,na,6/5/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=1190000034,na,?? ??,?? ??,"['?????????', '????????????(????)?????', '?????????']",na,na,na,"['????????', '??????????????', '??????????????', '???????????', '???????', '????????????']",na,"['??(????????)', '???????', '????????', '?????????', '????????????', '??????????????', '??????????????', '???????????????????', '??????', '????????????', '????????????']","['??????', '???????', '??????????????', '?????????????', '??????']",0.8|-|0.8,na,na,2.4|1|1.4,?????,na,na,15,
????????,????????768-5,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000221,na,???? ???,?? ??,['?????????'],"['?????', '??????']",na,na,"['????', '??????????????', '????????????']",na,"['??(?????????????????)', '??????']",['??????'],3|1|2,na,na,2|1|1,30,na,na,15,
??????? ??????????,????????747-1,na,na,7/1/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000229,na,???????,?? ??,['?????????'],"['?????', '??????']",na,na,"['????', '??????????????', '????????????']",na,"['??(?????????????????)', '??????']",['??????'],1|1|-,na,na,1|-|1,10,na,na,15,
?????????,????????459-1,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000511,na,????,????,['?????????'],['??????'],na,na,"['????', '??????????', '?????????????', '??????????????']",na,na,['??????'],1|1|-,na,na,3.5|2|1.5,30,na,na,15,
?????·?????????,????????41-3,na,na,8/8/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000218,na,?? ?,?? ?,"['?????????', '?????????', '????????????', '???????????', '????????????(????)?????', '?????????']","['?????', '??????', '??????', '??·?·????????·??·?????', '???????']",na,na,"['????', '??????????', '?????????', '?????????????', '????????', '??????????????', '????????????']",na,na,na,1.2|1|0.2,na,na,4|4|-,40,na,na,15,
??????,?????????164-1,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000209,na,????,????,"['?????????', '?????????', '????????????', '???????????', '????????????(????)?????']","['?????', '??????']",na,na,"['????', '??????????????', '????????????']",na,['??????'],['??????'],1|1|-,na,na,na,15.5,na,na,15,
??????????,?????????618,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000199,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '?????????????', '??????????????']",na,['??????'],['???????'],1|1|-,na,na,1.7|1|0.7,32,na,na,15,
??????,?????????517,na,na,8/8/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000224,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '??????????', '?????????????', '??????????????', '??????']",na,na,"['??????', '???????']",1|1|-,na,na,na,7,na,na,15,
?????????,????????52,na,na,7/1/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000691,na,?? ??,?? ??,['?????????'],"['?????', '??????']",na,na,"['????', '?????????????', '??????????????']",na,na,na,2|1|1,na,na,2|-|2,na,na,na,15,
??????COSMO ?????·??????,?????????1333,na,na,8/8/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000604,na,?? ??,?? ??,"['?????????', '?????????']","['??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????']",na,na,['??????'],4|2|2,na,na,8|8|-,36.5,na,na,15,
??????,????????526-1,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000214,na,?? ??,?? ??,['?????????'],"['?????', '??????']",na,na,"['????', '??????????', '??????????????']",na,"['??(????????)', '??????', '????????', '??????????', '??????????????', '??????????????????????']",['??????'],1|1|-,na,na,2|-|2,13,na,na,15,
????????,????????848,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000219,na,?? ?,?? ?,['?????????'],na,na,na,"['????', '??????????????']",na,na,na,1|1|-,na,na,1.1|-|1.1,7.1,na,na,15,
??????,?????????2679-1,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000223,na,???,???,['?????????'],"['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '??????']",na,na,na,1|1|-,na,na,1|-|1,na,na,na,15,
???????,????????2207-1,na,na,6/30/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000232,na,?? ?,?? ?,['?????????'],"['?????', '??????']",na,na,['??????????????'],na,"['??(????????)', '??????', '????????']","['??????', '???????', '?????????????', '??????']",1|1|-,na,na,3|3|-,25,na,na,16,
??????,????????124-6,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000225,na,?? ?,?? ?,['?????????'],['?????'],na,na,"['????', '??????????????']",na,"['??(????????)', '??????']","['???????', '??????']",1|1|-,na,na,3.5|-|3.5,40,na,na,16,
???????,?????????263-4,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000222,na,????,????,['?????????'],na,na,na,"['????', '?????????????', '??????????????']",na,na,na,1|1|-,na,na,0.5|-|0.5,26.8,na,na,16,
?????,???????1591-4,na,na,3/21/2008,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000230,na,?? ?,?? ?,"['?????????', '?????????']",na,na,na,"['????', '??????????????', '????????????']",na,na,['???????'],1|1|-,na,na,na,15,na,na,16,
???????????????,?????????1135,na,na,8/8/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=2190001243,na,?? ??,-,na,na,na,na,['??????????????'],na,"['?????????', '????????????', '??????????', '??????', '??????', '????????']","['??????', '???????', '??????????????', '?????????????', '??????']",1|-|1,na,na,na,?????,na,na,16,
??????,????????1022,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000212,na,????,????,na,['?????'],na,na,"['????', '??????????', '????????', '??????????????']",na,na,['??????'],1|1|-,na,na,2|2|-,20,na,na,16,
???? ??? ???????,?????????2645,na,na,5/16/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=2190000304,na,???? ???,????,na,na,na,na,"['????', '?????????', '?????????????', '??????????????']",na,na,na,-|-|-,na,na,-|-|-,na,na,na,16,
?????????,????????74-3,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000208,na,????,????,"['?????????', '?????????']",na,na,na,"['????', '?????????????', '??????????????']",na,na,na,1|1|-,na,na,2|2|-,25,na,na,16,
?????????,????????207,na,na,7/10/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000211,na,?? ??,?? ??,['?????????'],na,na,na,"['????', '?????????????']",na,na,na,1|1|-,na,na,3|1|2,16.7,na,na,16,
?????????,?????????535-1,na,na,8/8/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000226,na,(?)????????????????,?? ??,"['?????????', '????????????(????)?????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '????????', '??????????????', '????????????']",na,"['??(????????)', '??????', '????????', '??????????', '??????????????', '??????????????????????']","['??????', '???????', '??????????????', '?????????????', '??????']",2|2|-,na,na,5|3|2,50,na,na,16,
????,????????661,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000228,na,????,????,"['?????????', '????????????(????)?????']","['?????', '??????', '??????', '??·?·????????·??·?????']",na,na,"['????', '??????????????']",na,"['??(?????????????????)', '??(????????)', '??????']","['??????', '???????', '??????']",1|1|-,na,na,0.2|-|0.2,28,na,na,16,
???????,????????251,na,na,6/30/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000213,na,?????,?????,"['?????????', '????????????(????)?????']","['?????', '??????', '??·?·????????·??·?????']",na,na,"['????', '?????????????', '??????????????']",na,['??????'],['??????'],1|1|-,na,na,3.5|1|2.5,45.4,na,na,16,
??????,?????????13-1,na,na,8/8/2022,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000197,na,?????,?????,['?????????'],na,na,na,"['????', '??????????????']",na,['??????'],"['??????', '???????']",1|1|-,na,na,2|2|-,20,na,na,16,
??????,?????????134-1 ??????,na,na,7/3/2017,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000217,na,?? ??,?? ??,na,"['?????', '??·?·????????·??·?????']",na,na,"['????', '??????????????']",na,"['??(????????)', '??????']",['??????'],2|1|1,na,na,1.4|1|0.4,17,na,na,16,
??????,????????896,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000231,na,?? ?,?? ?,['?????????'],"['?????', '??????']",na,na,"['????', '??????????????']",na,['??????'],"['??????', '???????']",1|1|-,na,na,na,12,na,na,16,
??????,????????1774,na,na,6/30/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000180,na,????,????,['?????????'],"['?????', '??·?·????????·??·?????']",na,na,"['????', '??????????', '?????????', '??????????????', '????????????']",na,na,['??????'],1|1|-,na,na,na,1.5,na,na,16,
???????,????????976,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000203,na,?? ?,?? ?,"['?????????', '?????????', '????????????(????)?????', '?????????']",na,na,na,"['????', '?????????????', '??????????????']",na,"['??????', '????????']","['??????', '???????', '??????????????', '?????????????']",0.9|-|0.9,na,na,3.9|3|0.9,40,na,na,16,
??????,????????2995-2,na,na,6/26/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000202,na,?? ?,?? ?,['?????????'],"['?????', '??????']",na,na,"['????', '?????????????', '??????????????', '????????????']",na,na,na,1|1|-,na,na,3|3|-,20,na,na,16,
???????,????????1267,na,na,7/1/2021,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000177,na,??? ??,??? ??,"['?????????', '????????????(????)?????']",na,na,na,"['????', '?????????????', '??????????????', '????????????']",na,['??????'],['??????'],2|2|-,na,na,2|1|1,20,na,na,16,
??????,????????915-3,na,na,9/7/2020,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000183,na,?? ??,?? ??,"['?????????', '?????????']",na,na,na,"['????', '?????????????', '??????????????']",na,['??(?????????????????)'],['??????'],2|2|-,na,na,1|1|-,30,na,na,16,
??????,????????388,na,na,6/30/2023,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000182,na,????,????,['?????????'],['?????'],na,na,"['????', '??????????????']",na,"['??????', '????????', '??????????']","['??????', '???????', '?????????????']",1|1|-,na,na,4|3|1,33,na,na,17,
??????,????????1729,na,na,7/27/2018,https://www.yamanashi-iryo.net/qq19/WP1610/RP161001BL?kikanDetailSearchInfo.kikanCd=3190000179,na,????,????,"['?????????', '????????????(????)?????']",['?????'],na,na,"['????', '??????????']",na,['??????'],"['??????', '??????????????', '?????????????']",1|1|-,na,na,1|1|-,13,na,na,17,
